總價(萬元),占比乗面積,building,屋齡,樓別/樓高,管理組織,電梯,主要用途,region,衛,廳,房
850,51.33,House,30,全/四層,無,無,住家用,North District,2,4,5
230,6.398834,high-rise  apartment  (building),29,八層/十八層,有,有,住家用,North District,1,1,1
460,13.0067,condominium,20,五層/十層,有,有,住家用,North District,2,2,3
1480,68.43,House,34,全/四層,有,無,住家用,North District,2,3,3
1900,39.67875,condominium,1,二層/五層,有,有,住家用,North District,2,3,3
400,22.841268,Apartment,42,四層/五層,無,無,住家用,North District,2,1,3
288,6.609192,high-rise  apartment  (building),23,十二層/十四層,有,有,住家用,North District,1,1,1
560,23.930676,high-rise  apartment  (building),39,十一層/十四層,有,有,住家用,North District,2,2,3
2500,69.81,House,13,全/四層,無,無,住家用,North District,2,5,5
3300,51.765917,high-rise  apartment  (building),6,十六層/二十五層,有,有,住家用,North District,2,2,4
660,16.312686,high-rise  apartment  (building),23,九層/十四層,有,有,住家用,North District,2,1,2
9.5,0.3049,condominium,20,十層/十層,有,有,住家用,North District,2,2,3
850,35.53,House,49,全/二層,無,無,住家用,North District,2,2,4
106,6.934944,high-rise  apartment  (building),39,十層/十四層,有,有,住家用,North District,1,1,1
260,21.92,House,56,全/二層,無,無,住家用,North District,2,2,3
915,15.29988,condominium,1,四層/五層,有,有,住家用,North District,2,2,2
1200,44.905962,Apartment,38,"一層,夾層/五層",有,無,住家用,North District,2,2,6
775,20.263798,condominium,42,九層/十層,有,有,住家用,North District,2,2,2
1250,28.145232,high-rise  apartment  (building),16,七層/十九層,有,有,住家用,North District,2,2,2
650,22.42,House,48,全/二層,無,無,住家用,North District,2,3,4
445,23.353952,Apartment,42,四層/五層,無,無,住家用,North District,2,2,3
2988,67,House,1,全/四層,無,有,住家用,North District,2,4,4
1410,54.04,House,29,全/四層,無,無,住家用,North District,2,4,5
254,24.72,House,30,全/三層,無,無,住家用,North District,1,4,4
258,6.7977,high-rise  apartment  (building),29,八層/十二層,有,有,住家用,North District,1,1,1
1000,26.718055,high-rise  apartment  (building),21,二層/十四層,有,有,住家用,North District,2,2,3
210,7.251556,condominium,35,七層/十層,有,有,住家用,North District,1,1,1
850,26.55,House,44,全/二層,無,無,住家用,North District,2,2,2
1780,36.03744,high-rise  apartment  (building),15,六層/十九層,有,有,住家用,North District,2,2,3
2400,69.21,House,45,全/三層,無,無,,North District,3,4,3
770,14.962652,high-rise  apartment  (building),8,二十一層/二十四層,有,有,住家用,North District,1,1,2
1200,28.696239,high-rise  apartment  (building),8,十二層/二十四層,有,有,住家用,North District,2,2,3
5900,135.61,House,3,全/四層,無,有,住家用,North District,3,6,5
1818,27.00293,high-rise  apartment  (building),1,十二層/十四層,有,有,住家用,North District,2,2,2
570,31.61,House,44,全/二層,無,無,住家用,North District,2,2,3
640,26.77,House,49,全/二層,無,無,住家用,North District,2,2,4
1040,29.848864,high-rise  apartment  (building),16,四層/十九層,有,有,住家用,North District,2,2,3
313,21.375984,condominium,42,六層/七層,有,有,住家用,North District,2,1,2
1200,28.21304,high-rise  apartment  (building),8,十七層/二十四層,有,有,住家用,North District,2,2,2
965,27.315651,high-rise  apartment  (building),25,十層/十四層,有,有,住家用,North District,2,2,3
948,26.015808,high-rise  apartment  (building),21,四層/十二層,有,有,住家用,North District,2,2,3
835,29.223936,high-rise  apartment  (building),29,二十一層/二十五層,有,有,住家用,North District,2,2,4
950,24.649992,condominium,29,九層/九層,有,有,住家用,North District,2,2,3
341.8,39.9,House,42,全/三層,無,無,住商用,North District,1,2,4
695,25.992944,high-rise  apartment  (building),42,二層/十二層,有,有,住家用,North District,2,2,3
1223,21.548142,condominium,1,四層/五層,有,有,住家用,North District,2,2,3
940,19.97485,condominium,18,二層/十層,有,有,住家用,North District,2,1,2
2980,67.81,House,1,全/四層,無,有,住家用,North District,2,4,4
1250,21.094,condominium,1,四層/五層,有,有,住家用,North District,2,2,3
2980,67,House,1,全/四層,無,有,住家用,North District,2,4,4
195,5.465559,condominium,34,"三層,通道/五層",有,有,住家用,North District,1,1,1
720,18.270294,high-rise  apartment  (building),16,十四層/十九層,有,有,住家用,North District,2,1,2
680,27.65,House,42,全/二層,無,無,住家用,North District,2,2,3
1668,24.458427,high-rise  apartment  (building),1,十層/十五層,有,有,住家用,North District,2,2,3
1888,31.426542,condominium,8,四層/五層,有,有,住家用,North District,2,2,3
640,23.73,House,52,全/二層,無,無,住家用,North District,2,2,3
220,6.201976,condominium,12,二層/五層,有,有,住家用,North District,1,1,1
225,11.014927,Apartment,44,三層/四層,無,無,住家用,North District,1,1,1
480,15.96492,condominium,42,六層/六層,無,有,住家用,North District,2,1,2
800,38.15,House,36,全/四層,無,無,住商用,North District,2,4,4
248,19.44498,condominium,31,二層/五層,無,有,住家用,North District,1,2,2
600,30.387175,Apartment,44,二層/四層,無,無,住家用,North District,2,2,3
770,30.95,House,42,全/二層,無,無,住家用,North District,2,2,3
900,26.717145,high-rise  apartment  (building),26,三層/十四層,有,有,住家用,North District,2,2,4
416,42.59,House,36,全/三層,無,無,住商用,North District,1,2,2
300,13.754636,condominium,44,六層/六層,有,有,住家用,North District,1,1,2
750,26.709338,high-rise  apartment  (building),21,四層/十四層,有,有,住家用,North District,2,2,3
405,23.839872,Apartment,35,五層/五層,有,無,住家用,North District,2,2,3
830,32.42,House,51,全/二層,無,無,住家用,North District,2,2,4
1650,68.71,House,44,全/四層,無,無,住商用,North District,1,5,4
1065,20.82915,condominium,6,五層/五層,有,有,住家用,North District,1,2,3
390,18.055155,Apartment,39,三層/五層,無,無,住家用,North District,2,1,2
720,20.07558,Apartment,42,一層/五層,無,無,住商用,North District,2,2,3
1158,22.363176,high-rise  apartment  (building),18,二層/十四層,有,有,住家用,North District,2,2,3
275,9.634164,high-rise  apartment  (building),26,"一層,夾層/十四層",有,有,商辦用,North District,1,1,1
1800,53.593246,high-rise  apartment  (building),24,十五層/二十三層,有,有,住家用,North District,2,2,4
1108,17.607446,condominium,1,五層/五層,有,有,住家用,North District,1,1,2
400,24.912173,condominium,43,四層/八層,有,有,住家用,North District,2,1,2
660,16.995192,high-rise  apartment  (building),29,十八層/二十五層,有,有,住家用,North District,2,1,2
2450,72.66,House,22,全/四層,無,無,住商用,North District,3,4,5
325,8.54018,high-rise  apartment  (building),41,九層/十二層,有,有,住家用,North District,1,1,1
3800,60.929066,high-rise  apartment  (building),7,四層/二十四層,有,有,住家用,North District,2,3,3
1200,27.503802,high-rise  apartment  (building),8,十層/二十四層,有,有,住家用,North District,2,2,3
820,22.743696,high-rise  apartment  (building),23,十層/十四層,有,有,住家用,North District,2,2,3
1378,32.26,House,52,全/二層,無,無,住家用,North District,8,1,8
1060,26.302849,high-rise  apartment  (building),21,九層/十一層,有,有,住家用,North District,2,2,3
1500,41.48,House,38,全/二層,無,無,住家用,North District,3,2,6
640,37.470046,Apartment,38,"五層,夾層/五層",無,無,住家用,North District,2,6,7
938,20.277792,high-rise  apartment  (building),8,十八層/二十四層,有,有,住家用,North District,1,1,1
970,26.285356,high-rise  apartment  (building),20,五層/十一層,有,有,住家用,North District,2,2,3
820,18.328134,high-rise  apartment  (building),8,二十二層/二十四層,有,有,住家用,North District,1,1,2
800,16.766089,condominium,20,九層/十層,有,有,住家用,North District,2,1,2
1200,31.104843,Apartment,39,"一層,夾層/五層",有,無,住家用,North District,2,3,4
2600,58.33,House,1,全/四層,無,無,住家用,North District,2,5,4
1480,24.627798,high-rise  apartment  (building),1,四層/十五層,無,有,住家用,North District,2,2,3
2288,32.568228,high-rise  apartment  (building),1,十層/十五層,有,有,住家用,North District,2,2,4
1800,27.305632,high-rise  apartment  (building),3,二層/十四層,有,有,住家用,North District,2,2,2
1188,27.503802,high-rise  apartment  (building),8,十六層/二十四層,有,有,住家用,North District,2,2,3
2500,154.37,House,32,全/三層,無,有,住商用,North District,1,8,8
2960,78.34,House,22,全/四層,無,無,住家用,North District,4,7,4
650,33.34,House,43,全/二層,無,無,住商用,North District,2,3,5
868,14.232943,condominium,1,三層/五層,有,有,住家用,North District,1,1,1
2270,32.021946,high-rise  apartment  (building),1,九層/十五層,有,有,住家用,North District,2,2,4
55,9.927975,high-rise  apartment  (building),23,五層/十四層,無,有,住家用,North District,1,1,2
420,19.603958,Apartment,39,"二層,走廊/五層",無,無,住家用,North District,2,1,3
765,12.517792,condominium,1,四層/五層,有,有,住家用,North District,1,1,1
450,20.07547,Apartment,42,四層/五層,無,無,住家用,North District,2,1,3
1872,28.03134,high-rise  apartment  (building),1,十二層/十四層,有,有,住家用,North District,2,2,2
1430,55.29,House,29,全/四層,有,無,住家用,North District,3,4,5
